Engine_Size,Mileage,Horsepower,Torque,Price,Brand_Audi,Brand_BMW,Brand_Ford,Brand_Honda,Brand_Hyundai,Brand_Tesla,Brand_Toyota,Fuel_Type_Diesel,Fuel_Type_Electric,Fuel_Type_Hybrid,Fuel_Type_Petrol,Transmission_Automatic,Transmission_Manual,Body_Type_Convertible,Body_Type_Coupe,Body_Type_Hatchback,Body_Type_SUV,Body_Type_Sedan,Car_Model_Economy,Car_Model_Luxury,Car_Model_Sports,Car_Model_Standard
2057.24,16.23,218.64,158.45,1948873.52,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0
1945.74,11.46,130.13,189.12,2014081.16,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0
2413.42,13.59,98.61,180.6,1619679.47,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0
1948,9.32,53.94,179.25,1870540.83,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0
1120.9,21.28,198.95,139.68,2022439.37,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
1874.44,17.87,113.47,105.45,1157911.57,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0
1513.92,20.62,119.96,159.79,800519.28,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1
2039.79,21.06,154.24,156.48,1493148.31,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0
2717.09,12.93,101.49,135.8,1211399.41,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0
2000.275,10.28,146.9,231.12,1694310.74,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0
1599.89,14.74,95.83,109.67,1774014.31,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0
1723.65,10.64,119.96,169.71,1159174.6,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0
1809.18,15.82,166.58,249.98,1852054.27,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0
2370.06,20.66,113.67,234.55,1827069.19,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1
1913.23,14.16,140.74,252.98,1861658.79,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0
2207.9,15.75,136.44,144.55,1296103.81,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1
1687.11,14.53,145.52,227.06,1889961.08,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0
2114.96,19.01,57.74,116.22,1760001.14,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0
2388.9,11.66,96.59,163.45,1820092.32,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1
1633.85,4.02,107.02,169.09,2338894.28,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0
2390.68,17.35,86.74,145.45,1663887.09,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0
2026.19,19.94,137.16,158.29,1196518.89,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0
2522.73,17.23,167.48,150.4,944772.73,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0
1899.29,15.095,173.81,121.06,2063968.08,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0
2190.62,9.32,106.43,231.38,1678653.84,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1
1979.7,15.095,131.68,169.05,2335010.99,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0
2000.275,15.71,137.83,192.09,485223.9,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
2129.47,14.37,144.85,189.83,1955333.54,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0
2268.4,24.11,84.87,183.28,1369431.33,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
1375.22,10.27,192.82,185.57,1323239.5,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0
2000.275,15.095,157.06,161.67,1117596.08,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1
1070.17,15.16,158.11,265.1,1949785.51,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0
1657.59,5.82,168.14,225.64,1806768.09,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0
1952.87,14.1,141.37,181.1,928808.99,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1
2206.18,19.8,78.91,153.18,1582460.72,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0
2788.09,15.095,114.44,179.975,1853057.17,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0
1070.85,7.63,53.96,205.06,1589005.26,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0
1746.15,14.18,136.6,270,2053920.15,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1
936.58,10.71,113.23,97.62,1354980.73,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
2015.81,17.46,118.38,219.59,372821.16,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0
2135.84,15.095,168.16,247.6,1593358.78,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0
2795.4,9.72,101.72,90.8,1590312.88,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0
2060.32,11.47,109.92,169.13,1655593.25,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0
2522.01,18.78,120.88,116.13,2053489.55,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
2291.92,10.71,46.4,205.83,523768.37,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1
1782.38,9.59,109.36,158.5,1380758.35,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1
1295.52,9.11,20.57,172.19,1038671.1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
2137.5,16.76,96.58,155.34,895984.81,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0
1253.95,16.55,154.21,223.21,1463850.5,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0
2647.6,11.58,137.89,193.74,1850911.02,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1
1918.97,15.03,96.21,193.86,1650473.3,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1
2597.59,22.64,121.63,189.64,1156238.79,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1
1759.89,10.13,77,214.35,1427264.2,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0
2134.43,5.24,119.91,164.28,1964948.22,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0
2000.275,17.28,119.96,179.975,1841564.62,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0
1977.48,14.45,193.83,179.975,1495863.915,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0
1783.67,11.45,122.1,76.44,1191251.81,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1
2196.23,18.26,126.41,71.48,641757.92,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1
1536.92,19.2,80.82,55.22,1285294.33,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1
1395.28,3.96,87.93,220.39,632105.53,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1
2621.41,11.74,134.49,213.08,2533534.84,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
2363.58,26.59,99,252.47,1072440.92,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0
2032.95,17.92,156.17,116.6,2054490.43,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0
2832.57,18.38,182.79,224.73,2409053.1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1
1866.12,20.86,133.3,183.41,1608100.7,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0
2000.275,15.09,124.07,190,1449992.87,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
2087.79,18.98,52.77,217.54,838817.37,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1
1487.62,18.59,149.9,134.62,1247699.94,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1
2924.02,17.7,74.25,179.975,2301982.52,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0
2495.36,13.39,103.28,259.91,1675626.31,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0
1939.49,15.86,158.38,148.1,1514174.1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0
2363.59,12.06,161.19,114.56,2156061.6,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
1798.15,15.095,101.34,174.73,1848145.27,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0
2414.57,9.16,103.64,190.94,1426063.43,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0
2000.275,11.05,92.03,243.94,1608127.92,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1
1490.1,13.59,72.09,109.88,1115967.48,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0
2489.63,10.28,94.61,197.13,1219479.68,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0
1875.17,12.47,55.47,88.26,1396850.69,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1
2103.77,14.18,147.32,206.18,1778735.53,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0
1326.61,17.01,135.78,173.55,876318.51,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0
2923.93,19.75,142.42,296.2,1538120.17,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0
2595.26,12.68,81.82,87.24,1305068.92,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1
1899.66,21.68,72.2,262.24,1049535.39,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
1797.65,19.69,122.14,77.77,1307754.23,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
2514.8,17.52,119.96,100.37,339298.37,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0
2991.24,15.77,114.11,79.37,1121205.66,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0
2476.88,16.6,108.42,195.02,950256.56,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0
3085.9,20.94,119.96,109.58,1360041.98,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0
1538.82,21.12,137.04,99.1,360105.09,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0
1590.31,21.67,198.83,192.17,1595446.37,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
1405.53,15.21,170.76,207.11,1954711.65,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1
2220.88,17.77,188.13,182.39,1441351.81,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1
2087.8,21.72,119.96,170.27,1749395.94,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0
1924.02,11.88,143.73,289.73,1243634.72,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0
2404.63,15.095,102.73,188.75,722689.44,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0
2616.16,15.08,53.46,228.34,1500845.66,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1
1237.17,19.5,179.84,188.58,1840189.19,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0
1701.51,19.58,108.25,114.13,837805.94,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0
2410.07,13.85,77.8,179.975,1267386.36,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0
1766.13,7.46,103.42,140.65,1376441.8,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
1600.9,16.23,88.15,174.54,1495863.915,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0
2509.27,10.41,92.25,198.32,1611685.6,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1
1355.25,7.55,111.14,63.51,547213.21,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0
1849.21,8.68,189.23,83.43,423574.55,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1
2164.32,16.63,93.35,234.57,1865249.42,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0
1713.09,21.81,186.37,140.18,2742515.99,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
2391.58,15.095,153.95,143.02,1359512.76,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
1715.56,16.06,135.85,189.99,1329590.2,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1
2704.31,20.91,149.92,156.86,1715387.09,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0
1937.13,7.28,120.55,205.06,1100851.8,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0
2335.64,17.6,171.44,176.93,227922.69,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0
2373.01,14.94,142.68,191.92,2018632.19,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0
1686.23,17.83,53.41,137.89,1193408.94,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0
973.26,12.58,131.85,179.975,2025058.93,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1
2180.38,10.91,151.36,246.31,1119506.6,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0
2036.14,15.7,108.44,145.94,1560889.56,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
2277.91,23.25,125.05,179.975,1927415.97,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
1886.74,19.3,95.49,176.91,2035175.48,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
1784.79,12.46,64.89,224.07,1616494.33,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0
3004.24,8.3,57.98,187.73,1591619.55,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0
1263.82,6.59,58.52,178,1809853.09,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
2366.98,21.58,146.76,200.98,1732084.77,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0
1712.7,15.095,20.39,252.82,854409.73,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
2000.275,13.37,93.34,194.17,863958.82,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
1841.45,15.095,89.37,208.71,445470.45,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0
1598.28,6.93,108.71,157.89,1883254,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1
2285.61,15.095,45.74,274.25,1302135.11,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0
2695.32,13.73,119.96,218.42,1910098.62,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0
2235.01,9.26,69.07,184.66,1701855.29,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
2051.69,13.76,165.3,172.64,998786.66,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0
1506.78,11.39,95.13,238.67,1439888.78,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0
2000.275,17.2,116.18,143.63,1272588.97,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0
3078.17,11.76,120.15,73.03,1195388.26,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0
1809.65,5.44,119.96,179.975,1495863.915,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0
1812.01,15.095,121.48,251.4,2755371.74,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0
1719.46,8.22,102.92,275.48,2058101.82,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0
1755.29,16.02,133.72,173.56,1486521.82,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1
2000.275,9.06,138.65,182.62,2129753.88,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0
2202.52,12.56,89.39,211.17,2356451.33,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
1577.22,15.91,137.05,164.14,803814.61,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
